objectid,ID,IGSID,title,CommodityList,CompanyList,longitude,latitude,DMSlon,DMSlat,WGS84lon,WGS84lat,q24k,q100k,q250k,plss,plssTOWNSHIP,plssRANGE,plssSECTION,plssQQSECTION,plssQSECTION,CountyName,SurfaceManagementAgency,FSAgencyName,OrangeNumber,ZIP,MiningDistrict,Placer,Underground,Surface,Drilled,Producer,Processing,LocationType,NameWeb,CommodityWeb,CompanyWeb,WebMercLon,WebMercLat,type,format,display_template,image_small,image_thumb,object_location
AS0001,1,AS0001,Thimbleberry Iron Prospect,iron,,-111.38,44.67,"111° 22' 51.55708800"" W","44° 40' 23.37603600"" N",-111.38,44.67,Targhee Peak,Hebgen Lake,Ashton,16N 43E NENE,16N,43E,33,NENE,NE,Fremont,BLM;Caribou-Targhee NF,Caribou-Targhee NF,,83429,,0,0,0,0,0,0,0,|Thimbleberry Iron Prospect|,|iron|,,-111.38,44.67,text,record,record,,,
AS0002,2,AS0002,Tick Heaven Talc Prospect,talc,,-111.36,44.66,"111° 22' 10.47968400"" W","44° 40' 03.50439600"" N",-111.36,44.66,Targhee Pass,Hebgen Lake,Ashton,16N 43E NESW,16N,43E,34,NESW,SW,Fremont,USFS;Caribou-Targhee NF,Caribou-Targhee NF,,83429,,0,0,0,0,0,0,1,|Tick Heaven Talc Prospect|,|talc|,,-111.36,44.66,text,record,record,,,
AS0003,3,AS0003,Idaho Driftwood,stone,,-111.5,44.64,"111° 30' 16.49264400"" W","44° 38' 35.48205600"" N",-111.5,44.64,Hidden Lake Bench,Hebgen Lake,Ashton,15N 42E NWNE,15N,42E,9,NWNE,NE,,USFS;Caribou-Targhee NF,Caribou-Targhee NF,1,83429,,0,0,0,0,0,0,1,|Idaho Driftwood|,|stone|,,-111.5,44.64,text,record,record,,,
AS0004,4,AS0004,Idaho Driftwood #1,stone,,-111.5,44.63,"111° 30' 20.48857200"" W","44° 38' 18.49012800"" N",-111.5,44.63,Hidden Lake Bench,Hebgen Lake,Ashton,15N 42E NWSE,15N,42E,9,NWSE,SE,,USFS;Caribou-Targhee NF,Caribou-Targhee NF,2,83429,,0,0,0,0,0,0,1,|Idaho Driftwood #1|,|stone|,,-111.5,44.63,text,record,record,,,
AS0005,5,AS0005,Unnamed location,limestone,,-111.42,44.59,"111° 25' 34.63838400"" W","44° 35' 34.65697200"" N",-111.42,44.59,Sawtell Peak,Hebgen Lake,Ashton,15N 43E NWSE,15N,43E,30,NWSE,SE,Fremont,USFS;Caribou-Targhee NF,Caribou-Targhee NF,3,83429,,0,0,0,0,0,0,0,|Unnamed location|,|limestone|,,-111.42,44.59,text,record,record,,,
AS0006,6,AS0006,Unnamed prospects,,,-111.26,44.59,"111° 15' 48.46960800"" W","44° 35' 44.48842800"" N",-111.26,44.59,Big Springs,Hebgen Lake,Ashton,15N 44E NWSE,15N,44E,28,NWSE,SE,Fremont,USFS;Caribou-Targhee NF,Caribou-Targhee NF,4,83429,,0,0,0,0,0,0,1,|Unnamed prospects|,,,-111.26,44.59,text,record,record,,,
AS0007,7,AS0007,Scott and Bucy Coal Mine,coal,,-111.94,44.54,"111° 56' 57.52647600"" W","44° 32' 44.47467600"" N",-111.94,44.54,Winslow Creek,Hebgen Lake,Ashton,14N 38E NWNE,14N,38E,14,NWNE,NE,Clark,USFS;Caribou-Targhee NF,Caribou-Targhee NF,5,83446,Continental Divide,0,0,0,0,0,0,1,|Scott and Bucy Coal Mine|,|coal|,,-111.94,44.54,text,record,record,,,
AS0008,8,AS0008,East Dry Creek Phosphate Mine,phosphate,,-111.77,44.52,"111° 46' 47.63193600"" W","44° 31' 18.33103200"" N",-111.77,44.52,Slide Mountain,Hebgen Lake,Ashton,14N 40E NESE,14N,40E,19,NESE,SE,Clark,USFS;Caribou-Targhee NF,Caribou-Targhee NF,6,83446,,0,0,0,0,0,0,0,|East Dry Creek Phosphate Mine|,|phosphate|,,-111.77,44.52,text,record,record,,,
AS0009,9,AS0009,"Centennial Mine Area 2, Area No. 2 Phosphate Deposit, Centennial Phosphate Mine, Ruby Mine, Troublesome Ridge Phosphate Deposit",vanadium; phosphate; uranium; fluorite,J.R. Simplot Company - Fertilizer Division; J.R. Simplot Company; Ruby Company; J.R. Simplot Company for Ruby Company,-111.69,44.54,"111° 41' 58.23960000"" W","44° 32' 45.71880000"" N",-111.69,44.54,Upper Red Rock Lake,Hebgen Lake,Ashton,14N 40E NENE,14N,40E,14,NENE,NE,Clark,USFS;Caribou-Targhee NF,Caribou-Targhee NF,7,83446,,0,0,1,0,1,0,1,|Centennial Mine Area 2|Area No. 2 Phosphate Deposit|Centennial Phosphate Mine|Ruby Mine|Troublesome Ridge Phosphate Deposit|,|vanadium|phosphate|uranium|fluorite|,|J.R. Simplot Company - Fertilizer Division|J.R. Simplot Company|Ruby Company|J.R. Simplot Company for Ruby Company|,-111.69,44.54,text,record,record,,,
AS0010,10,AS0010,Taylor Creek Area,phosphate,,-111.67,44.54,"111° 40' 24.58203600"" W","44° 32' 50.49272400"" N",-111.67,44.54,Upper Red Rock Lake,Hebgen Lake,Ashton,14N 41E SWSW,14N,41E,7,SWSW,SW,Clark,USFS;Caribou-Targhee NF,Caribou-Targhee NF,8,83446,,0,0,0,0,0,0,0,|Taylor Creek Area|,|phosphate|,,-111.67,44.54,text,record,record,,,
AS0011,11,AS0011,Unnamed coal deposit,coal,,-111.66,44.55,"111° 39' 49.66120800"" W","44° 33' 03.45283200"" N",-111.66,44.55,Upper Red Rock Lake,Hebgen Lake,Ashton,14N 41E NWSE,14N,41E,7,NWSE,SE,Clark,USFS;Caribou-Targhee NF,Caribou-Targhee NF,9,83446,,0,0,0,0,0,0,0,|Unnamed coal deposit|,|coal|,,-111.66,44.55,text,record,record,,,
AS0012,12,AS0012,"Centennial Mine Area 4, Area No. 4 Phosphate Deposit, Bald Mountain Phosphate Deposit",vanadium; phosphate; uranium; fluorite,,-111.65,44.55,"111° 39' 33.55560000"" W","44° 33' 06.60960000"" N",-111.65,44.55,Upper Red Rock Lake,Hebgen Lake,Ashton,14N 41E NESE,14N,41E,7,NESE,SE,Clark,USFS;Caribou-Targhee NF,Caribou-Targhee NF,10,83446,,0,0,1,0,1,0,1,|Centennial Mine Area 4|Area No. 4 Phosphate Deposit|Bald Mountain Phosphate Deposit|,|vanadium|phosphate|uranium|fluorite|,,-111.65,44.55,text,record,record,,,
AS0013,13,AS0013,"South Slope Taylor Creek Phosphate Deposit, Area No. 3 Phosphate Deposit",vanadium; phosphate; uranium; fluorite,,-111.67,44.52,"111° 40' 21.88110000"" W","44° 31' 37.91722800"" N",-111.67,44.52,Upper Red Rock Lake,Hebgen Lake,Ashton,14N 41E SENW,14N,41E,19,SENW,NW,Clark,USFS;Caribou-Targhee NF,Caribou-Targhee NF,13,83446,,0,0,0,0,0,0,1,|South Slope Taylor Creek Phosphate Deposit|Area No. 3 Phosphate Deposit|,|vanadium|phosphate|uranium|fluorite|,,-111.67,44.52,text,record,record,,,
AS0014,14,AS0014,"Carrot Ridge Area Phosphate Deposit, Area No. 1 Phosphate Deposit, Centennial Mine Area 1",phosphate; vanadium; uranium; fluorite,,-111.65,44.53,"111° 39' 13.89600000"" W","44° 31' 48.34560000"" N",-111.65,44.53,Upper Red Rock Lake,Hebgen Lake,Ashton,14N 41E NWNW,14N,41E,20,NWNW,NW,Clark,USFS;Caribou-Targhee NF,Caribou-Targhee NF,14,83446,,0,0,1,0,1,0,1,|Carrot Ridge Area Phosphate Deposit|Area No. 1 Phosphate Deposit|Centennial Mine Area 1|,|phosphate|vanadium|uranium|fluorite|,,-111.65,44.53,text,record,record,,,
AS0015,15,AS0015,Tanner Manganese Prospect,manganese,,-111.7,44.55,"111° 42' 21.51367200"" W","44° 33' 11.47986000"" N",-111.7,44.55,Upper Red Rock Lake,Hebgen Lake,Ashton,14N 40E NWSE,14N,40E,11,NWSE,SE,Clark,USFS;Caribou-Targhee NF,Caribou-Targhee NF,11,83446,,0,0,0,0,0,0,1,|Tanner Manganese Prospect|,|manganese|,,-111.7,44.55,text,record,record,,,
AS0016,16,AS0016,Tin Cup #1-6,,,-111.54,44.55,"111° 32' 36.56889600"" W","44° 33' 14.61538800"" N",-111.54,44.55,Mount Jefferson,Hebgen Lake,Ashton,,,,,,,Fremont,,,12,,,0,0,0,0,0,0,0,|Tin Cup #1-6|,,,-111.54,44.55,text,record,record,,,
AS0017,17,AS0017,"Kilgore Project, Blue Ledge Mining Company, Unnamed mine",gold,Kilgore Minerals Ltd.; Otis Gold Corporation; Pegasus Gold Corporation; Echo Bay Mines; Placer Dome,-111.99,44.43,"111° 59' 43.52251200"" W","44° 26' 09.48444000"" N",-111.99,44.43,Kilgore,Ashton,Ashton,13N 38E NESW,13N,38E,21,NESW,SW,Clark,USFS;Caribou-Targhee NF,Caribou-Targhee NF,15,83446,,0,0,0,1,0,0,1,|Kilgore Project|Blue Ledge Mining Company|Unnamed mine|,|gold|,|Kilgore Minerals Ltd.|Otis Gold Corporation|Pegasus Gold Corporation|Echo Bay Mines|Placer Dome|,-111.99,44.43,text,record,record,,,
AS0018,18,AS0018,"Blue Ledge Mining Company, Kilgore project",gold,Kilgore Minerals Ltd.; Otis Gold Corporation; Placer Dome; Kennecott; Pegasus Gold Corporation; Pegasus Gold Corporation; Placer Dome; Echo Bay Mines; Placer Dome,-111.99,44.43,"111° 59' 34.52211600"" W","44° 26' 00.48458400"" N",-111.99,44.43,Kilgore,Ashton,Ashton,13N 38E SESW,13N,38E,21,SESW,SW,Clark,USFS;Caribou-Targhee NF,Caribou-Targhee NF,16,83446,,0,1,0,1,0,0,1,|Blue Ledge Mining Company|Kilgore project|,|gold|,|Kennecott|Placer Dome|Kilgore Minerals Ltd.|Otis Gold Corporation|Placer Dome|Kennecott|Pegasus Gold Corporation|Pegasus Gold Corporation|Placer Dome|Echo Bay Mines|Placer Dome|,-111.99,44.43,text,record,record,,,
AS0019,19,AS0019,Unnamed prospects,,,-111.99,44.42,"111° 59' 43.52222400"" W","44° 25' 46.48062000"" N",-111.99,44.42,Kilgore,Ashton,Ashton,13N 38E NENW,13N,38E,28,NENW,NW,Clark,USFS;Caribou-Targhee NF,Caribou-Targhee NF,17,83446,,0,0,0,0,0,0,1,|Unnamed prospects|,,,-111.99,44.42,text,record,record,,,
AS0020,20,AS0020,Unnamed prospect,,,-111.97,44.42,"111° 58' 47.54038800"" W","44° 25' 26.50108800"" N",-111.97,44.42,Kilgore,Ashton,Ashton,13N 38E NWSW,13N,38E,27,NWSW,SW,Clark,USFS;Caribou-Targhee NF,Caribou-Targhee NF,18,83446,,0,0,0,0,0,0,1,|Unnamed prospect|,,,-111.97,44.42,text,record,record,,,
AS0021,21,AS0021,Swan Butte,cinders (volcanic),,-111.91,44.3,"111° 55' 06.59704800"" W","44° 18' 25.41355200"" N",-111.91,44.3,Idmon,Ashton,Ashton,11N 38E SESE,11N,38E,1,SESE,SE,Clark,STATE;PUBLIC SCHOOLS;BLM-Idaho Falls District,BLM-Idaho Falls District,19,83446,,0,0,0,0,0,0,0,|Swan Butte|,|cinders (volcanic)|,,-111.91,44.3,text,record,record,,,
AS0022,22,AS0022,Crystal Butte,cinders (volcanic),,-111.7,44.29,"111° 42' 04.65408000"" W","44° 17' 33.57870000"" N",-111.7,44.29,Crystal Butte,Ashton,Ashton,11N 40E SESE,11N,40E,11,SESE,SE,Fremont,PRIVATE;BLM-Idaho Falls District,BLM-Idaho Falls District,20,83445,,0,0,0,0,0,0,0,|Crystal Butte|,|cinders (volcanic)|,,-111.7,44.29,text,record,record,,,
AS0023,23,AS0023,High Point Butte Cinder Occurrence,cinders (volcanic); pumice,,-111.54,44.26,"111° 32' 59.59737600"" W","44° 16' 00.34269600"" N",-111.54,44.26,Bishop Mountain,Ashton,Ashton,11N 42E NESW,11N,42E,19,NESW,SW,Fremont,USFS;Caribou-Targhee NF,Caribou-Targhee NF,21,83445,,0,0,0,0,0,0,0,|High Point Butte Cinder Occurrence|,|cinders (volcanic)|pumice|,,-111.54,44.26,text,record,record,,,
AS0024,24,AS0024,Wyoming Creek,cinders (volcanic),,-111.04,44.13,"111° 03' 00.40424400"" W","44° 07' 53.52909600"" N",-111.05,44.13,Bechler Falls,Ashton,Ashton,09N 46E SWSW,09N,46E,5,SWSW,SW,Fremont,USFS;Caribou-Targhee NF,Caribou-Targhee NF,22,83420,,0,0,0,0,0,0,1,|Wyoming Creek|,|cinders (volcanic)|,,-111.05,44.13,text,record,record,,,
AS0025,25,AS0025,Lava Oil Co.,gas; oil,Lava Oil Company,-111.55,44.05,"111° 33' 24.46534800"" W","44° 03' 25.50031200"" N",-111.55,44.05,Lemon Lake,Ashton,Ashton,08N 42E NWNW,08N,42E,6,NWNW,NW,Fremont,PRIVATE;BLM-Idaho Falls District,BLM-Idaho Falls District,,83420,,0,0,0,0,0,0,1,|Lava Oil Co.|,|gas|oil|,|Lava Oil Company|,-111.55,44.05,text,record,record,,,
